Bank name;Year;State/Territory;Total assets and deferred outflow of resources(under management);Net position(invested);Total Liabilities;Operating Revenue(Loss);Operating expenses;Non-operating revenue;Overall profit(Loss) ;Total assets, including net deferred inflows/outflows;Debt-to-Equity ratio;Debt Ratio;Equity Ratio;ROA;ROE;Net Profit Margin;Asset Turnover Ratio;Efficiency Ratio;Current Ratio;;;;;;"""Large Banks""";"""Intermediate Banks""";"""Small Banks"""
California Infrastructure and Economic Development Bank;2022;CA;1013340602;627927474;385413128;135569796;10434945;-16350215;108784636;1013340602;0,61;0,38;0,62;0,11;0,17;0,912472893;0,13;0,08;2,629232188;;;;;;Virginia Resources Authority;California Infrastructure and Economic Development Bank;Connecticut Green Bank
California Infrastructure and Economic Development Bank;2021;CA;916581068;519142838;397438230;105072456;18907579;1464039;87628916;916581068;0,77;0,43;0,57;0,1;0,17;0,822524863;0,11;0,18;2,3062227;;;;;;;NY Green Bank;DC Green Bank
California Infrastructure and Economic Development Bank;2020;CA;856535567;431513922;425021645;66473038;12361360;6762026;60873704;856535567;0,98;0,5;0,5;0,07;0,14;0,831209815;0,08;0,19;2,015275168;;;;;;;Rhode Island Infrastructure Bank;Delaware Sustainable Energy Utility(Energize DW)
California Infrastructure and Economic Development Bank;2019;CA;824958651;370640218;454318433;15099260;26473315;9726800;-1647255;824958651;1,23;0,55;0,45;0;0;-0,06635185;0,02;1,75;1,815815937;;;;;;;Vermont Municipal Bond Bank(VT Bond Bank);Efficiency Main 
California Infrastructure and Economic Development Bank;2018;CA;817061786;372287473;444774313;13429110;21768881;4229945;-4109826;817061786;1,19;0,54;0,46;-0,01;-0,01;-0,232731933;0,02;1,62;1,83702557;;;;;;;Vermont State Employees Credit Union; Maryland Clean Energy Center(MCAC) 
California Infrastructure and Economic Development Bank;2017;CA;838298952;385188299;453110653;14533159;21528094;1796035;-5198900;838298952;1,18;0,54;0,46;-0,01;-0,01;-0,318380687;0,02;1,48;1,850097645;;;;;;;; Nevada Clean Energy Fund 
California Infrastructure and Economic Development Bank;2016;CA;726150259;280326209;445824050;10939461;11649452;744360;34369;726150259;1,59;0,61;0,39;0;0;0,002941589;0,02;1,06;1,62878216;;;;;;;;Spruce Root Community Development
California Infrastructure and Economic Development Bank;2015;CA;533341890;280291840;253050050;10759416;8838762;241235;2161889;533341890;0,9;0,47;0,53;0;0,01;0,196523733;0,02;0,82;2,107653763;;;;;;;;Vermont Economic Development Authority
California Infrastructure and Economic Development Bank;2014;CA;439560712;281695761;157864951;12147744;9189187;218580;3177137;439560712;0,56;0,36;0,64;0,01;0,01;0,256918467;0,03;0,76;2,784409771;;;;;;;;
California Infrastructure and Economic Development Bank;2013;CA;412870311;278518624;134351687;11699015;8438168;212302;3473149;412870311;0,48;0,33;0,67;0,01;0,01;0,291583962;0,03;0,72;3,073056396;;;;;;;;
Connecticut Green Bank;2023;CT;291633539;141403566;132575399;63947524;32235890;-1446337;30265297;309288113;0,94;0,43;0,46;0,1;0,21;0,484235555;0,21;0,5;2,332922362;;;;;;;;
Connecticut Green Bank;2022;CT;284495126;111138269;155111503;60715377;35819421;-3252932;21643024;302740480;1,4;0,51;0,37;0,07;0,19;0,376646417;0,2;0,59;1,951760341;;;;;;;;
Connecticut Green Bank;2021;CT;278290894;89495245;170400747;55516648;38392246;-4700112;12424290;296685796;1,9;0,57;0,3;0,04;0,14;0,244493052;0,19;0,69;1,741106194;;;;;;;;
Connecticut Green Bank;2020;CT;213296830;76742245;146951058;53323598;48709442;-4607122;7034;202900357;1,91;0,72;0,38;0;0;0,000144386;0,26;0,91;1,380734237;;;;;;;;
Connecticut Green Bank;2019;CT;211028020;76282000;145085000;41722865;40776393;-17694729;-16748257;200689040;1,9;0,72;0,38;-0,08;-0,22;-0,697026894;0,21;0,98;1,383251473;;;;;;;;
Connecticut Green Bank;2018;CT;185971921;91325000;121679000;36881656;43441040;-12456789;-19016173;158939842;1,33;0,77;0,57;-0,12;-0,21;-0,778557893;0,23;1,18;1,306222454;;;;;;;;
Connecticut Green Bank;2017;CT;191253606;128663000;72569000;33966548;39633987;522698;-5144741;181275212;0,56;0,4;0,71;-0,03;-0,04;-0,149169425;0,19;1,17;2,497970373;;;;;;;;
Connecticut Green Bank;2016;CT;176829083;127362000;52042000;37788235;31847977;-39610;5900648;174254166;0,41;0,3;0,73;0,03;0,05;0,15631425;0,22;0,84;3,348337228;;;;;;;;
Connecticut Green Bank;2015;CT;137573092;109167000;28883000;46294418;25248053;-19516789;1529576;137096184;0,26;0,21;0,8;0,01;0,01;0,057121413;0,34;0,55;4,746604716;;;;;;;;
Connecticut Green Bank;2014;CT;120488738;100793000;19696000;48754213;25975965;-6381540;16396708;120488476;0,2;0,16;0,84;0,14;0,16;0,386964212;0,4;0,53;6,117408408;;;;;;;;
Connecticut Green Bank;2013;CT;99990000;98174000;1816000;43343093;26626106;30957;16747944;99990000;0,02;0,02;0,98;0,17;0,17;0,386128203;0,43;0,61;55,06057269;;;;;;;;
Connecticut Green Bank;2012;CT;92176000;81189000;10988000;39753684;32510209;1164495;8407970;92175000;0,14;0,12;0,88;0,09;0,1;0,205482507;0,43;0,82;8,38869676;;;;;;;;
Delaware Sustainable Energy Utility(Energize DW);2022;DE;150525149;84902703;65622446;34382763;17811592;1471431;18042602;150525149;0,77;0,44;0,56;0,12;0,21;0,50322152;0,23;0,52;2,293805827;;;;;;;;
Delaware Sustainable Energy Utility(Energize DW);2021;DE;136391909;65860101;70531808;20245959;16524856;1892318;5613421;136391909;1,07;0,52;0,48;0,04;0,09;0,253561784;0,15;0,82;1,933764536;;;;;;;;
Delaware Sustainable Energy Utility(Energize DW);2020;DE;133330806;60246680;72974126;15488282;14758713;2435379;3164948;133440806;1,21;0,55;0,45;0,02;0,05;0,176579327;0,12;0,95;1,828604374;;;;;;;;
Delaware Sustainable Energy Utility(Energize DW);2019;DE;131489955;57081732;74408223;17443416;12360001;647582;5730997;131489955;1,3;0,57;0,43;0,04;0,1;0,316787222;0,13;0,71;1,767142793;;;;;;;;
Delaware Sustainable Energy Utility(Energize DW);2018;DE;110913385;51350735;59562650;15033048;15985326;-141893;-1094171;110913385;1,16;0,54;0,46;-0,01;-0,02;-0,073477914;0,14;1,06;1,862129791;;;;;;;;
Delaware Sustainable Energy Utility(Energize DW);2017;DE;113703542;52440906;61262636;13601470;6611237;-4992055;1998178;113703542;1,17;0,54;0,46;0,02;0,04;0,232092192;0,12;0,49;1,856001462;;;;;;;;
Delaware Sustainable Energy Utility(Energize DW);2016;DE;115171385;50446728;64724657;16292542;3236118;-2870063;10186361;115171385;1,28;0,56;0,44;0,09;0,2;0,758903106;0,14;0,2;1,779405104;;;;;;;;
Delaware Sustainable Energy Utility(Energize DW);2015;DE;111480079;40260367;71219712;16154644;5678722;-2070935;8404987;111480079;1,77;0,64;0,36;0,08;0,21;0,596787892;0,14;0,35;1,565298088;;;;;;;;
Delaware Sustainable Energy Utility(Energize DW);2014;DE;103123752;31855380;71268372;13760935;4786506;-1398644;7575785;103123752;2,24;0,69;0,31;0,07;0,24;0,612814;0,13;0,35;1,446977798;;;;;;;;
Efficiency Main ;2023;ME;578301915;100274205;478027710;94755707;86663856;-107420;7984431;578301915;4,77;0,83;0,17;0,01;0,08;0,084358959;0,16;0,91;1,209766511;;;;;;;;
Efficiency Main ;2022;ME;483546208;66478389;417067819;92966967;71794546;-99167;21073254;483546208;6,27;0,86;0,14;0,04;0,32;0,226916692;0,19;0,77;1,159394674;;;;;;;;
Efficiency Main ;2021;ME;390579241;71216520;319362721;66250484;65592989;-72256;585239;390579241;4,48;0,82;0,18;0;0,01;0,008843377;0,17;0,99;1,22299572;;;;;;;;
Efficiency Main ;2020;ME;324328757;70631281;253697476;64902777;51856864;-1111954;11933959;324328757;3,59;0,78;0,22;0,04;0,17;0,187079558;0,2;0,8;1,278407504;;;;;;;;
Efficiency Main ;2019;ME;259425980;58697322;200728658;61883832;48355587;-2886490;10641755;259425980;3,42;0,77;0,23;0,04;0,18;0,180376855;0,24;0,78;1,292421235;;;;;;;;
Efficiency Main ;2018;ME;197542148;48055567;149486581;49850286;46451473;-2829199;569614;197542148;3,11;0,76;0,24;0;0,01;0,012114012;0,25;0,93;1,321470775;;;;;;;;
Efficiency Main ;2017;ME;147691862;47485953;100205909;51067710;41618551;-3264238;6184921;147691862;2,11;0,68;0,32;0,04;0,13;0,129382255;0,35;0,81;1,473883761;;;;;;;;
Efficiency Main ;2016;ME;96624152;41301032;55323120;45554848;47477953;-380411;-2303516;96624152;1,34;0,57;0,43;-0,02;-0,06;-0,050991582;0,47;1,04;1,746541988;;;;;;;;
Efficiency Main ;2015;ME;51069304;43604548;7464756;51400818;58730124;-135450;-7464756;51069304;0,17;0,15;0,85;-0,15;-0,17;-0,145610112;1,01;1,14;6,841389591;;;;;;;;
Efficiency Main ;2014;ME;56894548;51069304;5825244;45753202;39626352;201871;6328721;56894548;0,11;0,1;0,9;0,11;0,12;0,137715394;0,8;0,87;9,766895258;;;;;;;;
Efficiency Main ;2013;ME;50565827;45003076;5562751;41179463;36346562;1650627;6483528;50565827;0,12;0,11;0,89;0,13;0,14;0,151377875;0,81;0,88;9,090075576;;;;;;;;
Efficiency Main ;2012;ME;44082299;40210081;3872218;34184558;38033423;0;-3848865;44082299;0,1;0,09;0,91;-0,09;-0,1;-0,112590749;0,78;1,11;11,38425032;;;;;;;;
 Maryland Clean Energy Center(MCAC) ;2023; MD ;51246466;2112950;35097249;2335627;2721617;678797;292807;65282733;16,61;0,54;0,03;0;0,14;0,097135307;0,04;1,17;1,860052707;;;;;;;;
 Maryland Clean Energy Center(MCAC) ;2022; MD ;50225235;1820143;34459029;2624942;2395296;597154;826800;64171298;18,93;0,54;0,03;0,01;0,45;0,256603155;0,04;0,91;1,862249166;;;;;;;;
 Maryland Clean Energy Center(MCAC) ;2021; MD ;29971981;1122025;28849956;1392858;2061309;908636;240185;29971981;25,71;0,96;0,04;0,01;0,21;0,104360472;0,05;1,48;1,03889174;;;;;;;;
 Maryland Clean Energy Center(MCAC) ;2020; MD ;30775866;881840;29894026;1498997;1500542;250230;251775;30775866;33,9;0,97;0,03;0,01;0,29;0,143935007;0,05;1;1,02949887;;;;;;;;
 Maryland Clean Energy Center(MCAC) ;2019; MD ;33416306;630065;32786241;1201749;1093029;661162;552442;33416306;52,04;0,98;0,02;0,02;0,88;0,296547715;0,04;0,91;1,01921736;;;;;;;;
 Maryland Clean Energy Center(MCAC) ;2018; MD ;28649609;91606;28558003;1139293;698523;2100724;1659954;28649609;311,75;1;0;0,06;18,12;0,512328793;0,04;0,61;1,003207717;;;;;;;;
 Maryland Clean Energy Center(MCAC) ;2017; MD ;8944394;-1568348;10512742;617387;557792;-156275;-215870;8944394;-6,7;1,18;-0,18;-0,02;0,14;-0,468150905;0,07;0,9;0,850814564;;;;;;;;
 Maryland Clean Energy Center(MCAC) ;2016; MD ;10057939;-1352478;11410417;286216;768504;-877915;-395627;10057939;-8,44;1,13;-0,13;-0,04;0,29;0,668628813;0,03;2,69;0,881469888;;;;;;;;
